latitude,longitude,depth,mag
-27.0521,-69.2878,112.07,4.3
-15.4572,-72.1389,111.63,4.2
-32.2975,-70.2349,121.5,4.4
-37.9702,-73.8016,13.7,5.1
-30.8424,-71.619,35,4.6
-19.6743,-70.43,66.52,4.6
-26.9138,-63.3909,569.5,5.3
-20.1986,-69.2454,99.66,4.8
-23.1204,-66.8896,241.19,4.1
-33.8941,-70.4892,108.92,4.8
-25.7792,-69.5255,10,4.9
-29.2649,-67.9878,99.4,4.9
-24.1481,-66.7338,180.83,4.2
-19.3292,-70.1091,57.09,4.1
-22.9428,-70.6446,18.86,4.3
-19.2393,-70.1387,31.75,4
-31.483,-69.5783,141.11,4.8
-21.1131,-69.0743,132.21,4.4
-18.2029,-69.5807,152.75,5.1
-24.1872,-67.0642,174.01,5
-15.6471,-70.2695,233.06,4.3
-15.8221,-72.6483,90.33,4
-31.4269,-71.8267,41.73,4.4
-31.4798,-71.6698,35,4.5
-23.9877,-66.8418,218.35,4.5
-24.4196,-70.5466,57.48,4.1
-29.5419,-71.7244,44.61,4.4
-20.1293,-70.1161,50.4,4.6
-31.7801,-71.6267,23.36,4.4
-31.7572,-71.6142,35,4.3
-20.6766,-68.8769,108.99,4.2
-31.2087,-68.8786,104.93,4.9
-30.5637,-71.8279,27.49,4.7
-24.0396,-66.9985,222.49,4
-28.5776,-65.7189,10,3.6
-29.0485,-71.6555,48.73,4.8
-24.2231,-69.6777,101.37,4.2
-19.9826,-69.1194,93.25,3.9
-25.9297,-70.7026,70.45,4.7
-24.2103,-67.2841,209.2,4.4
-22.8091,-70.3939,33.64,4.6
-23.9768,-66.8783,196.49,4.2
-22.0064,-68.5455,114.1,4.2
-17.9984,-69.9744,126.86,4.3
-26.9677,-71.2704,10,4.9
-21.44,-69.4705,22.6,4.4
-35.7212,-73.6775,26.16,4.4
-24.3203,-67.3899,188.95,4.2
-24.2657,-67.0282,178.02,4.4
-35.6956,-73.7302,11.37,4.8
-37.5723,-74.1322,20.5,4.2
-32.4155,-72.0541,10,4.5
-28.8171,-63.155,590.64,5.2
-35.3243,-74.1524,10,4.6
-35.7431,-73.4284,10,4.2
-19.4565,-69.1952,114.65,4.2
-22.4931,-66.3598,249.11,4.3
-35.7502,-73.5135,10,5.1
-35.7347,-73.5055,22.06,4.6
-31.2314,-69.2105,118.22,4
-23.3583,-67.0925,213.92,4.2
-21.2566,-68.2332,143.41,4.6
-28.8317,-68.8227,82.7,4.5
-30.5687,-71.9266,10,5
-18.8106,-70.0228,71.92,4.7
-24.2746,-67.2863,152.59,4.7
-23.7474,-64.5403,10,4.7
-29.1699,-69.0388,15.9,4.1
-20.9215,-67.2693,195.09,4.3
-19.0659,-70.1252,70.27,4.3
-33.3848,-71.3341,49.69,3.9
-17.9086,-72.6422,10,4.4
-36.1555,-73.1685,33.03,5.6
-20.1912,-69.238,93.39,4
-29.4638,-71.9674,10,4.3
-31.4106,-69.1511,114.47,4.3
-21.905,-68.6721,117.81,4.3
-21.2704,-68.8115,110.83,4.3
-20.557,-69.1747,110.82,4.1
-18.5292,-69.7391,131.29,4.3
-23.9531,-66.8271,208.84,4.2
-21.5077,-66.6975,198.47,4.2
-19.9306,-69.2739,102.69,5.2
-22.1711,-67.4751,205.58,4.3
-30.2967,-72.2447,6.75,4.6
-21.6228,-68.3989,101.17,4.6
-30.4098,-71.6612,28.2,4.3
-23.8097,-67.1181,175.75,4
-22.1116,-67.8732,151.33,5.1
-28.5433,-68.803,130.4,4.6
-31.7643,-68.3286,102.45,4.5
-32.3293,-67.6585,126.42,4.2
-30.4212,-72.2162,8.71,4.3
-24.8906,-69.1925,129.88,4.3
-21.4679,-66.5927,204,4.3
